what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1718190629585
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718190635367
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718190636806
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1718190636900
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718190637784
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718192789350
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1718192790137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718192829126
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718192841889
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1718192843250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718192852313
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718192872221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718193041619
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718193043323
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1718193043900
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1718193049480
